Regional Grouping;Code;Lat;Lat_transformed;Long;Long_transformed;Period Used;Parameter;Chronologies Type;Reference
Seward;NTR;65.11 to 65.22;65.15;-162.18 to -162.27;-162.23;1710-2001;MXD;STD;D'Arrigo et al. (2004)
Coastal Alaska;GOA;60.01 to 60.45;60.22;-149.31 to -141.42;-145.37;800-2010;RW;RCS;Wiles et al. (2014)
Wrangells;WRAx;60-65;62.5;-145.00 to -140.00;-142.5;1593-1992;MXD;STD;Davi et al. (2003) used in Wilson et al. (2007)
Firth;FIRT;68.39;68.39;-141.38;-141.38;1073 - 2002;MXD;RCS-SF;Anchukaitis et al. (2013)
Southern Yukon;YUS;59-62;60.5;-140 to -133;-136.5;1684-2000;RW;STD;Youngblut and Luckman [2007] used in Wilson et al. (2007)
Northern Yukon;YUN;65-70;68;-125 to -135;-130;1638-1988;RW;STD;Szeicz and MacDonald [1995] used in Wilson et al. (2007)
Int. British Columbia;IBC;49.02-50.59;49.7;-121.43 to -117.03;-119.23;1600-1995;RW/MXD/BI;STD/SF;Wilson et al. (2014)
Icefields;ICE;52.16;52.16;-117.19;-117.19;918 - 1994;RW/MXD;RCS;Luckman and Wilson (2005) used in D'Arrigo et al. (2006)
Idaho;IDA;40-45;42.5;-110 to -120;-115;1135-1992;RW;STD;Biondi et al. [1999] used in Wilson et al. (2007)
Coppermine;COP;67.14;67.14;-115.55;-115.55;1551 - 2003;MXD;RCS;Anchukaitis et al. (2013)
Thelon;THE;64.02;64.02;-103.52;-103.52;1492 - 2004;MXD;RCS;Anchukaitis et al. (2013)
Quebec;QUEx;57.3;57.3;-76;-76;1373-1988;MXD;RCS;Schneider et al. (2015)
Quebec;QUEw;57.3;57.3;-74;-74;910-2011;RW;RCS;Gennaretti et al. (2014)
Northern Quebec;NQU;55-60;57.5;-70 to -65;-67.5;1642-2002;RW;STD;Payette (2007) used in Wilson et al. (2007)
Labrador;LAB;56.33 to 57.58;57.05;-62.25 to -61.56;-61.9;1710-1998;RW/MXD;STD/RCS;D'Arrigo et al. (2003 (RW) and 2013 (MXD))
Scotland;SCOT;57.08;57.08;-3.44;-3.44;1200-2010;RW/BI;STD/RCS;Rydval et al. (submitted)
Pyrenees;PYR;42 - 43;42.5;0 - 1 ;0.5;1260-2005;MXD;RCS;Dorado-Linan et al. (2012)
W Alps - Lotschental;ALPS;why it has no?;46.3;why it has no?;7.7;755-2004;MXD;RCS;Buentgen et al. (2006). 
E Alps - Tyrol;TYR;47.3;47.3;12.3;12.3;1053-2003;MXD;RCS;Schneider et al. (2015)
Jaemtland;JAEM;63.3;63.3;13.25;13.25;783-2011;MXD;RCS;Zhang et al. (2015)
Tjeggelvas, Arjeplog, Ammarnäs composite;TAA;65.54 - 66.36;65.95;16.06 - 18.12;17.09;1200-2010;MXD;RCS;Linderholm et al. (2014)
North Fenno;Efmean;66-69;67.5;19-32;25.5;750-2010;MXD;RCS;Esper et al (2014) and Matskovsky and Helama (2014)
Forfjorddalen;FORF;68.47;68.47;15.43;15.43;978-2005;MXD;;McCarroll et al. (2013)
Tatra;TAT;48-49;48.5;19-20;19.5;1040-2010;RW;RCS;Büntgen et al. (2013)
Mt Olympus, Greece;MOG;40.09;40.09;22.37;22.37;1521-2010;MXD;RCS;Klesse et al. (2014)
South Finland;SFIN;62.19.30;62.19;28.19.30;28.19;760-2000;MXD;RCS;Helama et al. (2014)
Khibiny (Kola);KOL;67.38 - 67.50;67.44;33.13 - 34.15;33.64;821-2005;RW/BI;RCS/STD;McCarroll et al. (2013)
Polar Urals;POLx;66.51;66.51;65.4;65.4;891-2006;MXD;RCS;Schneider et al. (2015)
Yamal;YAM;67.32;67.32;69.54;69.54;750-2005;RW;RCS;Briffa et al. (2013)
Asia Grid 1;ASGrid1;40.15 - 46.15;43.15;60.15 - 68.15;64.15;817-1989;MIX;RCS/STD;Cook et al. (2012)
Asia Grid 2;ASGrid2;40.15 - 46.15;43.15;70.15 - 78.15;74.15;827-1989;MIX;RCS/STD;Cook et al. (2012)
Asia Grid 10;ASGrid10;48.15 - 54.15;51.15;60.15 - 68.15;64.15;937-1989;MIX;RCS/STD;Cook et al. (2012)
Asia Grid 11;ASGrid11;48.15 - 54.15;51.15;70.15 - 78.15;74.15;937-1989;MIX;RCS/STD;Cook et al. (2012)
Kyrgyzstan;KYR;41.36 to 42.11;41.8;75.09 to 78.11;76.6;1689-1995;RW/MXD;STD;Wilson et al. (2007)
Mangazeja;MAN;66.42;66.42;82.18;82.18;1328-1990;MXD;RCS;Schneider et al. (2015)
Asia Grid 3;ASGrid3;40.15 - 46.15;43.15;80.15 - 88.15;84.15;800-1989;MIX;RCS/STD;Cook et al. (2012)
Asia Grid 12;ASGrid12;48.15 - 54.15;51.15;80.15 - 88.15;84.15;800-1989;MIX;RCS/STD;Cook et al. (2012)
Altai MXD;ALT;50;50;88;88;750-2007;MXD;RCS;Schneider et al (2015)
